primer1,primer2,score
t4p2,mat2,-2462.11745784937
t4p3,vac1,-3778.8123735326008
t4p3,vac2,-3340.384915689425
t4p3,vac3,-3092.1974578462614
t4p3,mhv1,-5401.91737352949
t4p3,mhv2,-7355.166060294243
t4p3,mhv3,-2712.6286867678464
t4p3,t4p1,-5402.357102454174
t4p3,t4p2,-3818.7799156894253
t4p3,lam1,-4673.28991569252
t4p3,lam2,-3036.752457849365
t4p3,lam3,-4871.093686770939
t4p3,phi1,-4173.05114461411
t4p3,phi2,-2993.048602457282
t4p3,phi3,-3333.362457846266
t4p3,ms21,-5228.929915689419
t4p3,ms22,-2801.9136867678462
t4p3,ms23,-3144.9486867647465
t4p3,m131,-3516.71491568943
t4p3,m132,-5446.098686770951
t4p3,m133,-4532.55868677095
t4p3,mat1,-5143.2736867678395
t4p3,mat2,-1795.8262289277845
lam1,vac1,-2302.7812289277863
lam1,vac2,-3437.5799156925277
lam1,vac3,-3608.737457846266
lam1,mhv1,-2766.876228927784
lam1,mhv2,-3041.881228927785
lam1,mhv3,-3370.2024578462624
lam1,t4p1,-3597.588686767842
lam1,t4p2,-2890.6336867678474
lam1,t4p3,-4673.289915692527
lam1,lam2,-4133.493686767844
lam1,lam3,-2277.511060300436
lam1,phi1,-4026.787102451075
lam1,phi2,-3763.3112289277815
lam1,phi3,-3339.8836867678474
lam1,ms21,-3597.588686767842
lam1,ms22,-5660.20737353569
lam1,ms23,-3703.3699156925213
lam1,m131,-2715.2586867709433
lam1,m132,-3258.9862289277844
lam1,m133,-3339.8836867678474
lam1,mat1,-3299.2162289277876
lam1,mat2,-3104.412457846265
lam2,vac1,-2928.102457846264
lam2,vac2,-3647.403686767844
lam2,vac3,-2677.113686770943
lam2,mhv1,-3681.983686767846
lam2,mhv2,-2589.436228927785
lam2,mhv3,-4273.787457849372
lam2,t4p1,-2604.3486867647443
lam2,t4p2,-4947.598686770951
lam2,t4p3,-3036.752457849365
lam2,lam1,-4133.493686767848
lam2,lam3,-1715.7538735294947
lam2,phi1,-5764.337373532595
lam2,phi2,-3626.4074578462605
lam2,phi3,-2452.532457846264
lam2,ms21,-2684.004915689424
lam2,ms22,-2238.0574578462656
lam2,ms23,-4663.171602457282
lam2,m131,-3987.633686770947
lam2,m132,-3629.1686867678472
lam2,m133,-2452.532457846264
lam2,mat1,-2922.1462289277843
lam2,mat2,-2328.5362289277873
lam3,vac1,-3139.6886867647445
lam3,vac2,-3116.324915686324
lam3,vac3,-2479.7236867647443
lam3,mhv1,-3197.0874578493676
lam3,mhv2,-2660.1836867678467
lam3,mhv3,-4898.913686770953
lam3,t4p1,-2225.1061446110107
lam3,t4p2,-4012.696144611
lam3,t4p3,-4871.093686770953
lam3,lam1,-2277.511060300436
lam3,lam2,-1715.7538735294947
lam3,phi1,-1756.8574578462649
lam3,phi2,-3330.9949156925286
lam3,phi3,-2495.022457846262
lam3,ms21,-2226.841228927784
lam3,ms22,-3537.8824578493623
lam3,ms23,-3830.732457849368
lam3,m131,-2243.6436867709454
lam3,m132,-3620.4111446110037
lam3,m133,-3697.023686767843
lam3,mat1,-2992.8936867678494
lam3,mat2,-1902.7174578462618
phi1,vac1,-3433.6886867709472
phi1,vac2,-2451.5974578462665
phi1,vac3,-4681.637289222024
phi1,mhv1,-3784.569915689426
phi1,mhv2,-3949.593873532598
phi1,mhv3,-3766.3986867709464
phi1,t4p1,-3246.273686767843
phi1,t4p2,-1540.5562289246827
phi1,t4p3,-4173.051144614117
phi1,lam1,-4026.787102451075
phi1,lam2,-5764.337373532595
phi1,lam3,-1756.8574578462649
phi1,phi2,-5229.494915689429
phi1,phi3,-2170.138686767841
phi1,ms21,-3308.6936867709446
phi1,ms22,-3493.0249156925274
phi1,ms23,-2938.657831378856
phi1,m131,-914.9962289246832
phi1,m132,-3747.387289215825
phi1,m133,-2170.138686767841
phi1,mat1,-3018.25868676784
phi1,mat2,-1775.1562289277863
phi2,vac1,-3667.0074578493623
phi2,vac2,-4214.454915689421
phi2,vac3,-3604.977457846264
phi2,mhv1,-2766.876228927784
phi2,mhv2,-3916.456144611009
phi2,mhv3,-3366.4424578462604
phi2,t4p1,-3662.3124578493625
phi2,t4p2,-4556.6186867709475
phi2,t4p3,-2993.0486024572747
phi2,lam1,-3763.3112289277815
phi2,lam2,-3626.407457846264
phi2,lam3,-3330.9949156925286
phi2,phi1,-5229.494915689429
phi2,phi3,-5315.5187892282265
phi2,ms21,-3662.3124578493625
phi2,ms22,-3229.1686867678472
phi2,ms23,-6139.648602457273
phi2,m131,-4556.6186867709475
phi2,m132,-3258.9862289277844
phi2,m133,-3985.5049156925306
phi2,mat1,-4663.442457849364
phi2,mat2,-3100.652457846263
phi3,vac1,-3017.888686764745
phi3,vac2,-7918.107373532599
phi3,vac3,-2756.9886867709465
phi3,mhv1,-5073.289915692527
phi3,mhv2,-5325.671144607906
phi3,mhv3,-4039.0124578493705
phi3,t4p1,-8875.704831375755
phi3,t4p2,-2122.7245602973344
phi3,t4p3,-3333.362457846266
phi3,lam1,-3339.8836867678474
phi3,lam2,-2452.532457846264
phi3,lam3,-2495.0224578462658
phi3,phi1,-2170.138686767841
phi3,phi2,-5315.5187892282265
phi3,ms21,-3710.187331378853
phi3,ms22,-3116.6274578462617
phi3,ms23,-5225.734915689427
phi3,m131,-3932.5586867709426
phi3,m132,-6099.741144611013
phi3,m133,-4197.676144614117
phi3,mat1,-3470.333686767841
phi3,mat2,-3163.509915689421
ms21,vac1,-4465.703789218911
ms21,vac2,-6179.532289222014
ms21,vac3,-3612.073331375752
ms21,mhv1,-2487.569915689426
ms21,mhv2,-5060.943686770945
ms21,mhv3,-3738.5823735325976
ms21,t4p1,-5342.445831378864
ms21,t4p2,-2708.2362289277808
ms21,t4p3,-5228.929915689427
ms21,lam1,-3597.588686767842
ms21,lam2,-2684.004915689424
ms21,lam3,-2226.841228927784
ms21,phi1,-3308.6936867709446
ms21,phi2,-3662.3124578493625
ms21,phi3,-3710.187331378853
ms21,ms22,-3116.6274578462617
ms21,ms23,-3746.862373535696
ms21,m131,-2510.8024578462646
ms21,m132,-4826.168686770943
ms21,m133,-3929.1686867678436
ms21,mat1,-2528.472457849366
ms21,mat2,-1978.6574578462642
ms22,vac1,-3939.0124578493705
ms22,vac2,-2356.292457846266
ms22,vac3,-3151.6649156894237
ms22,mhv1,-3985.43745784937
ms22,mhv2,-3714.824915692523
ms22,mhv3,-4969.028686770944
ms22,t4p1,-2595.587457849364
ms22,t4p2,-4023.7413735356895
ms22,t4p3,-2801.9136867678426
ms22,lam1,-5660.20737353569
ms22,lam2,-2238.0574578462656
ms22,lam3,-3537.882457849366
ms22,phi1,-3493.0249156925274
ms22,phi2,-3229.1686867678472
ms22,phi3,-3116.6274578462617
ms22,ms21,-3116.6274578462617
ms22,ms23,-2563.2474578462607
ms22,m131,-6880.201144614104
ms22,m132,-2501.4124578493684
ms22,m133,-5428.559915692531
ms22,mat1,-3391.262457849367
ms22,mat2,-1432.296228927782
ms23,vac1,-2949.6392892220174
ms23,vac2,-3030.2986867678446
ms23,vac3,-5797.047373532594
ms23,mhv1,-2662.507457849366
ms23,mhv2,-5886.187102457276
ms23,mhv3,-4523.104915692529
ms23,t4p1,-3837.3849156863216
ms23,t4p2,-3107.2351024510644
ms23,t4p3,-3144.9486867647465
ms23,lam1,-3703.369915692536
ms23,lam2,-4663.171602457267
ms23,lam3,-3830.7324578493644
ms23,phi1,-2938.657831378856
ms23,phi2,-6139.648602457273
ms23,phi3,-5225.734915689427
ms23,ms21,-3746.862373535696
ms23,ms22,-2563.2474578462607
ms23,m131,-2735.7536867678427
ms23,m132,-3231.9936867678407
ms23,m133,-5479.548686767845
ms23,mat1,-3060.681228927784
ms23,mat2,-3581.7449156894218
m131,vac1,-4161.144331375748
m131,vac2,-2645.772457846262
m131,vac3,-2981.80868677095
m131,mhv1,-3603.4136867678462
m131,mhv2,-2859.117457846267
m131,mhv3,-4362.779560303548
m131,t4p1,-6776.6799156925335
m131,t4p2,-3608.3674578493665
m131,t4p3,-3516.714915689423
m131,lam1,-2715.2586867709433
m131,lam2,-3987.633686770947
m131,lam3,-2243.643686770949
m131,phi1,-914.9962289246832
m131,phi2,-4556.6186867709475
m131,phi3,-3932.5586867709426
